sku_id,country_name,retailer,breadcrumbs,breadcrumbs_t,name,name_t,pack_size,pack_size_t,description_short,description_t_short,resnet50_labels_005,resnet50_labels_06,price,label
5391778,USA,CVS,"[""Household & Grocery"",""School & Office Supplies""]","[""Household & Grocery"",""School & Office Supplies""]",Pilot G2 Fine Point Rolling Ball Gel Pens Black,Pilot G2 Fine Point Rolling Ball Gel Pens Black,5 EA,5 EA,"gel ink. america's no. 1 selling gel pen (source: 2007/2008 a.c. nielsen). retractable. refillable. discover writing perfection! dynamic gel ink formula. an exceedingly smooth writing, smear-proof gel","gel ink. america's no. 1 selling gel pen (source: 2007/2008 a.c. nielsen). retractable. refillable. discover writing perfection! dynamic gel ink formula. an exceedingly smooth writing, smear-proof gel",carpenter's_kit~comic_book~screwdriver,screwdriver,8.29,OUT OF SCOPE
5908751,USA,CVS,"[""Sexual Health"",""Moisturizers & Lubricants""]","[""Sexual Health"",""Moisturizers & Lubricants""]","K-Y Liquid Personal Water Based Lubricant, 2.5 OZ","K-Y Liquid Personal Water Based Lubricant, 2.5 OZ",2.5 OZ,2.5 OZ,"from the #1 doctor recommended and most trusted personal lubricant brand, k-y brand liquid personal water based lubricant is designed to feel natural and enhance your sexual intimacy.","from the #1 doctor recommended and most trusted personal lubricant brand, k-y brand liquid personal water based lubricant is designed to feel natural and enhance your sexual intimacy.",lotion~nipple~paper_towel~plastic_bag~sunscreen,,9.29,OUT OF SCOPE
20197418,USA,CVS,"[""Home Health Care"",""Braces & Supports""]","[""Home Health Care"",""Braces & Supports""]","Scott Specialties Lumbosacral Support with Insert Pocket 8 in., Large","Scott Specialties Lumbosacral Support with Insert Pocket 8 in., Large",1 CT,1 CT,36 in. to 44 in.white colorthis double-ply 3-panel elastic belt has a posterior pocket for moldable insertdura-foam front panel closes with pressure-sensitive hookprovides even compressionthis item is,36 in. to 44 in.white colorthis double-ply 3-panel elastic belt has a posterior pocket for moldable insertdura-foam front panel closes with pressure-sensitive hookprovides even compressionthis item is,cocktail_shaker~hoopskirt~lampshade,,31.99,OUT OF SCOPE
20840765,USA,CVS,"[""Household & Grocery"",""Outdoor & Garden""]","[""Household & Grocery"",""Outdoor & Garden""]","OFF! Deep Woods Insect Repellent Towelettes with 25% DEET, 12 CT","OFF! Deep Woods Insect Repellent Towelettes with 25% DEET, 12 CT",12 CT,12 CT,"off! deep woods towelettes are formulated with 25% deet, and protect against ticks, biting flies, gnats, and chiggers, and mosquitoes that may carry the zika, dengue, or west nile virus. each box incl","off! deep woods towelettes are formulated with 25% deet, and protect against ticks, biting flies, gnats, and chiggers, and mosquitoes that may carry the zika, dengue, or west nile virus. each box incl",packet~web_site,,7.29,OUT OF SCOPE
120858,USA,CVS,"[""Vitamins"",""Herbals""]","[""Vitamins"",""Herbals""]","Nature's Answer Damiana Leaf Vegetarian Capsules 800mg, 90CT","Nature's Answer Damiana Leaf Vegetarian Capsules 800mg, 90CT",90 CT,90 CT,"nature's answer capsules feature the highest quality of organic, responsibly wildcrafted or cultivated herbs, which maintain the naturally-occurring constituents found in the plant. they are carefully","nature's answer capsules feature the highest quality of organic, responsibly wildcrafted or cultivated herbs, which maintain the naturally-occurring constituents found in the plant. they are carefully",face_powder~pill_bottle~sunscreen,pill_bottle,8.49,OUT OF SCOPE
4136849,USA,CVS,"[""Home Health Care"",""Diabetes Care""]","[""Home Health Care"",""Diabetes Care""]","ExtendBar Snack Bar, Peanut Butter Chocolate","ExtendBar Snack Bar, Peanut Butter Chocolate",4 EA,4 EA,naturally and artificially flavored. 1 g net carbs! helps control blood sugar for up to 9 hours! control hunger. avoid blood sugar lows and highs. count on energy that lasts. what makes extendbar such,naturally and artificially flavored. 1 g net carbs! helps control blood sugar for up to 9 hours! control hunger. avoid blood sugar lows and highs. count on energy that lasts. what makes extendbar such,menu~packet~web_site,,5.99,OUT OF SCOPE
17385488,USA,CVS,"[""Health & Medicine"",""Sleep & Snoring Aids""]","[""Health & Medicine"",""Sleep & Snoring Aids""]","Similasan Calm & Collected Dissolvable Tablets, 60 CT","Similasan Calm & Collected Dissolvable Tablets, 60 CT",60 Ct,60 Ct,"soothe and relax* without harsh chemicals. calm & collected tablets soothe and relax by temporarily relieving your symptoms of excitement, confusion and restlessness. homeopathic ingredients promote c","soothe and relax* without harsh chemicals. calm & collected tablets soothe and relax by temporarily relieving your symptoms of excitement, confusion and restlessness. homeopathic ingredients promote c",web_site,web_site,9.99,OUT OF SCOPE
4296833,USA,CVS,"[""Household & Grocery"",""Pet Supplies""]","[""Household & Grocery"",""Pet Supplies""]",Purnina Adult Dog Food Lamb & Rice Formula,Purnina Adult Dog Food Lamb & Rice Formula,64 OZ,64 OZ,"real lamb is the no. 1 ingredient. one can make a difference. high quality protein, including real lamb promotes a lean energetic body and healthy organs. highly digestible ingredients help ensure opt","real lamb is the no. 1 ingredient. one can make a difference. high quality protein, including real lamb promotes a lean energetic body and healthy organs. highly digestible ingredients help ensure opt",packet,packet,10.79,Dry Dog Food
1431233,USA,CVS,"[""Home Health Care"",""Monitors""]","[""Home Health Care"",""Monitors""]","Littmann Tunable Diaphragm and Rim Assembly 5CT, Grey","Littmann Tunable Diaphragm and Rim Assembly 5CT, Grey",5 CT,5 CT,"tunable diaphragm and rim assembly for littmann cardiology iii (large side), cardiology ii s.e., master classic ii, classic ii s.e. and select stethoscopes, gray rim.gray rimgray colorprint collection","tunable diaphragm and rim assembly for littmann cardiology iii (large side), cardiology ii s.e., master classic ii, classic ii s.e. and select stethoscopes, gray rim.gray rimgray colorprint collection",analog_clock~puck~stethoscope~wall_clock,,35.79,OUT OF SCOPE
11061167,USA,GNC,"[""Departments"",""Vitamins & Supplements"",""Antioxidants"",""Black Seed Oil""]","[""Departments"",""Vitamins & Supplements"",""Antioxidants"",""Black Seed Oil""]",Life Extension® Black Cumin Seed Oil with Bio-Curcumin,Life Extension® Black Cumin Seed Oil with Bio-Curcumin,60 Softgels,60 Softgels,modulates regulators of inflammation and immunity,modulates regulators of inflammation and immunity,pill_bottle,pill_bottle,31.99,OUT OF SCOPE
22783076,USA,GNC,"[""Departments"",""Superfoods & Green Foods"",""Superfoods"",""Bee Products""]","[""Departments"",""Superfoods & Green Foods"",""Superfoods"",""Bee Products""]",Sunfood™ Super Foods Raw Wild-Crafted Spanish Bee Pollen,Sunfood™ Super Foods Raw Wild-Crafted Spanish Bee Pollen,8 oz(s),8 oz(s),"wild-crafted spanish bee pollen pollen are tiny, dust-sized granules found on the stamen of all flower blossoms. as honey bees travel from flower to flower looking for nectar, the pollen collects into","wild-crafted spanish bee pollen pollen are tiny, dust-sized granules found on the stamen of all flower blossoms. as honey bees travel from flower to flower looking for nectar, the pollen collects into",coffee_mug~corn~espresso_maker~mortar~packet,,11.99,OUT OF SCOPE
12959579,USA,GNC,"[""Departments"",""Equipment & Accessories"",""Meal Prep"",""Meal Prep Bags""]","[""Departments"",""Equipment & Accessories"",""Meal Prep"",""Meal Prep Bags""]",Jaxx FitPak Meal Prep Bag w/ Portion Control Container Set - Silver,Jaxx FitPak Meal Prep Bag w/ Portion Control Container Set - Silver,1 Item(s),1 Item(s),"the jaxx fitpak has all of the essentials needed to fuel your day. meal management set includes (4) 2-cup containers, (2) 1-cup containers, 28oz jaxx shaker cup, pocket vitamin pack, and a large reusa","the jaxx fitpak has all of the essentials needed to fuel your day. meal management set includes (4) 2-cup containers, (2) 1-cup containers, 28oz jaxx shaker cup, pocket vitamin pack, and a large reusa",backpack~fire_screen~mailbag~water_jug,,33.99,OUT OF SCOPE
17709879,USA,GNC,"[""Best Sellers"",""Herbs & Natural Remedies""]","[""Best Sellers"",""Herbs & Natural Remedies""]","Carlson® Ceylon Cinnamon ""True Cinnamon""","Carlson® Ceylon Cinnamon ""True Cinnamon""",180 Capsules,180 Capsules,"helps maintain normal blood glucose levelscarlson ceylon cinnamon, or ""true cinnamon,"" is ideal for optimal health.","helps maintain normal blood glucose levelscarlson ceylon cinnamon, or ""true cinnamon,"" is ideal for optimal health.",face_powder~pill_bottle~sunscreen,pill_bottle,37.99,OUT OF SCOPE
13034003,USA,QVC,"[""Kitchen & Food"",""Condiments & Sides""]","[""Kitchen & Food"",""Condiments & Sides""]",Saltopia Set of 2 Twisted Sistaz Lemon & Lime-Infused Sea Salt,Saltopia Set of 2 Twisted Sistaz Lemon & Lime-Infused Sea Salt,,,"no need to get salty--unless you're trying to spice up your menu. saltopia's flavor-infused sea salts bring unique tastes to your table, like twisted sistaz, a refreshing spritz of lemon and lime. fro","no need to get salty--unless you're trying to spice up your menu. saltopia's flavor-infused sea salts bring unique tastes to your table, like twisted sistaz, a refreshing spritz of lemon and lime. fro",lotion~packet~perfume,,19.98,OUT OF SCOPE
17821953,USA,QVC,"[""Kitchen & Food"",""Storage & Organization""]","[""Kitchen & Food"",""Storage & Organization""]",Lock & Lock 6-piece Bowl Set,Lock & Lock 6-piece Bowl Set,,,"keep your leftovers secure and organized with this convenient six-piece bowl set. from lock & lock. includes six 3-cup containersdishwasher-, freezer-, and microwave-safeeach measures approximately 3""","keep your leftovers secure and organized with this convenient six-piece bowl set. from lock & lock. includes six 3-cup containersdishwasher-, freezer-, and microwave-safeeach measures approximately 3""",cup~mixing_bowl,mixing_bowl,16.46,OUT OF SCOPE
25460160,USA,Avon,"[""Home"",""Fashion"",""Apparel"",""Bottoms"",""Angela Soft Pant in Palm Print""]","[""Home"",""Fashion"",""Apparel"",""Bottoms"",""Angela Soft Pant in Palm Print""]",Angela Soft Pant in Palm Print,Angela Soft Pant in Palm Print,,,"the palm chic collection: ready for vacay? with bright pieces that pop and bolder-than-ever prints, this collection is meant for having fun in the sun. so whether you&rsquo;re jet setting to somewhere","the palm chic collection: ready for vacay? with bright pieces that pop and bolder-than-ever prints, this collection is meant for having fun in the sun. so whether you&rsquo;re jet setting to somewhere",Windsor_tie~sarong~sock~stole~swimming_trunks,,29.99,OUT OF SCOPE
11007644,USA,Avon,"[""Home"",""Outlet"",""Jewelry"",""Flower Market Drop Earrings""]","[""Home"",""Outlet"",""Jewelry"",""Flower Market Drop Earrings""]",Flower Market Drop Earrings,Flower Market Drop Earrings,,,"better than flowers, the flower market collection features freshly-picked accessories with beautiful goldtone and enamel-like accents. features &bull; pierced drops, 1.75&rdquo; &bull; post with butte","better than flowers, the flower market collection features freshly-picked accessories with beautiful goldtone and enamel-like accents. features &bull; pierced drops, 1.75&rdquo; &bull; post with butte",necklace,necklace,12.99,OUT OF SCOPE
